Model,R2,RMSE,MAE,MAPE,TrainingTime_sec,InferenceTime_sec,R2_STD,RMSE_STD,MAE_STD
ExtraTrees,0.9383564301489533,0.016687074513358543,0.013153106937091897,1.4770898874160525,14.284512220020407,0.06748061997350305,0.0014601037921284491,0.000586184196468372,0.0004250655530656111
XGBoost,0.9148517561129482,0.01961946672224928,0.015094688004785334,1.6959429011498428,3.92997330003418,0.017760400008410216,0.002889863170919074,0.0009776486298193176,0.0007673137190975112
RandomForest,0.892867746672423,0.021996323607515533,0.016685763319169062,1.8744724331083567,40.782538600056434,0.06882361997850239,0.003648863162268147,0.0007810636667369671,0.0005884129614533626
LightGBM,0.8900863417596616,0.022285009117847688,0.0173162234727356,1.9434544754781111,1.103320600022562,0.010465240012854338,0.0025252358329340245,0.0008663084878615068,0.0006151739669261047
HistGradientBoosting,0.8809806218809524,0.023190941618081228,0.01798845979483099,2.0187129857448345,1.7647531799739227,0.023544080019928516,0.002493173062344631,0.0009273965205479264,0.0006515279237412957
CatBoost,0.8570574140313193,0.025408605764513315,0.019891665230917156,2.231028308514991,3.849178639985621,0.005851160013116896,0.0032012016785056643,0.000802877624742743,0.0005386744410791998
